날짜,시간,보낸 사람,내용
2025.10.9,9:42,현지,민석아 우리 제주 일정 짜자!!✈️
2025.10.9,9:43,민석,좋지ㅎㅎ 어디 가고 싶어?
2025.10.9,9:44,현지,나 흑돼지 먹고 싶어 너무!!!🐷🔥
2025.10.9,9:45,민석,ㅋㅋ 흑돼지 좋다! 현지 고기 좋아하잖아 ㅎㅎ
2025.10.9,9:46,현지,그리고 바다 보면서 커피 마시고 싶어☕️
2025.10.9,9:48,민석,오 좋다! 혹시 특정 카페 생각해둔 데 있어?
2025.10.9,9:49,현지,음 애월쪽에 요즘 뜨는 곳 있던데 거기 가자!
2025.10.9,9:51,민석,애월 좋지ㅎㅎ 근데 숙소는 어디 근처로 잡을까?
2025.10.9,9:53,현지,나 중문 근처 좋아! 바다 바로 보이는 데!
2025.10.9,9:55,민석,오케이~ 그쪽으로 알아볼게요😊
2025.10.9,9:56,현지,ㅋㅋ 왜 이렇게 다 나한테 맡겨ㅋㅋ
2025.10.9,9:58,민석,아냐ㅎㅎ 너가 더 잘 알아서..! 난 다 좋아😉
2025.10.9,10:01,현지,근데 너 진짜 하고 싶은 거 없어? 나만 신난 거 같아ㅠ
2025.10.9,10:04,민석,그런 건 아닌데..! 나는 그냥 현지랑 가는 게 제일 좋아서ㅎㅎ
2025.10.9,10:06,현지,그 말 너무 교과서같아ㅋㅋ 진짜 하고 싶은 거 없어??
2025.10.9,10:10,민석,"음… 그냥 같이 맛있는 거 먹고, 사진 찍고, 쉬면 좋을 것 같아☺️"
2025.10.9,10:15,현지,너무 무난하다ㅠ 나 혼자 들떠있는 기분이야
2025.10.9,10:20,민석,아니야ㅠ 나 진짜 기대돼... 말로 잘 못해서 그렇지😅
2025.10.9,10:24,현지,그럼 표현 좀 해봐. 나 혼자 좋아하는 사람 같잖아.
2025.10.9,10:31,민석,미안ㅠ 그런 의도 아니었어... 내가 좀 둔하네
2025.10.9,10:35,현지,됐어 그냥 나만 신났던 거지 뭐🙃
2025.10.9,10:49,민석,진짜 그런 거 아니야 현지야...😔
2025.10.9,10:58,현지,나 일 해야 돼. 이따 얘기하자.
2025.10.9,10:59,민석,응 알겠어. 미안해...
2025.10.9,13:12,민석,점심 먹었어? 같이 먹을래?
2025.10.9,13:34,현지,아니 그냥 혼자 먹었어
2025.10.9,13:35,민석,그랬구나ㅠ 뭐 먹었어?
2025.10.9,13:42,현지,김밥
2025.10.9,13:45,민석,힘내 현지야..! 오후엔 조금 쉬어가면서 해😊
2025.10.9,13:46,현지,응~
2025.10.9,18:41,민석,퇴근했어? 오늘 하루 어땠어?
2025.10.9,18:59,현지,피곤해 그냥
2025.10.9,19:01,민석,오늘 힘들었구나ㅠ 저녁은 꼭 챙겨 먹어!
2025.10.9,19:07,현지,식욕 없어
2025.10.9,19:10,민석,혹시 죽이라도 먹을래? 내가 시켜줄게
2025.10.9,19:18,현지,됐어 나 혼자 있고 싶어
2025.10.9,19:21,민석,응… 알겠어
2025.10.9,22:36,민석,잘 자 현지야🌙 내일은 좀 나아지길🙏
2025.10.10,8:14,민석,좋은 아침☀️ 밥은 먹었어?
2025.10.10,8:39,현지,응
2025.10.10,8:41,민석,어제보다 괜찮아?
2025.10.10,8:56,현지,그냥 그래
2025.10.10,9:00,민석,음… 오늘은 좋은 하루 되자😊
2025.10.10,9:02,현지,응 노력해볼게~
2025.10.10,11:07,민석,점심 같이 먹을래? 파스타집 괜찮다던데!
2025.10.10,11:33,현지,나 회사 밥 먹을래
2025.10.10,11:35,민석,알겠어ㅎㅎ 맛있게 먹어!
2025.10.10,12:40,현지,밥 먹었어?
2025.10.10,12:43,민석,응응 나도 먹었지ㅎㅎ 현지는 졸립진 않고?
2025.10.10,12:46,현지,ㅋㅋ 왜 톤이 달라
2025.10.10,12:48,민석,그냥 평소처럼 한 건데?😅
2025.10.10,13:05,현지,화났어? 나 때문에?
2025.10.10,13:20,민석,아니야 진짜 아니야ㅎㅎ
2025.10.10,13:31,현지,나한테 요즘 말 안 하는 거 같아
2025.10.10,13:49,민석,그런 의도 없었어ㅠ 요즘 일도 많고…
2025.10.10,13:52,현지,그래도 나랑 얘기 안 하는 게 더 서운해
2025.10.10,14:05,민석,미안해 현지야. 내가 잘할게 진짜🙏
2025.10.10,14:24,현지,나 이 얘기 그냥 넘기기 싫어
2025.10.10,14:30,민석,알겠어… 어떤 얘기 하고 싶은데?
2025.10.10,14:35,현지,요즘 나 혼자 이 관계 끌고 가는 기분이야
2025.10.10,14:42,현지,나만 표현하고 나만 맞추고… 너는 그냥 괜찮다로 끝내잖아
2025.10.10,14:56,현지,"내가 더 좋아하는 거 같고, 나만 진심인 거 같아"
2025.10.10,15:14,민석,그렇게 느끼게 해서 미안해... 진짜 그런 건 아니야😔
2025.10.10,15:32,현지,그럼 뭐가 진심인데? 말로라도 좀 보여줘
2025.10.10,15:58,민석,현지야… 나 진짜 널 좋아해. 표현이 서툴러서 그래
2025.10.10,16:09,현지,그 말 이제 너무 익숙해졌어
2025.10.10,16:35,민석,미안... 정말 미안해
2025.10.10,18:28,민석,오늘 일 끝났어? 밥은 먹었어?
2025.10.10,18:55,현지,응 대충
2025.10.10,19:02,민석,힘들었겠다ㅠ 따뜻한 거 먹었으면 좋았을 텐데
2025.10.10,19:18,현지,괜찮아 이제 나 좀 나아졌어
2025.10.10,19:27,민석,다행이다😊 오늘은 좀 웃자
2025.10.10,19:33,현지,ㅋㅋ 그래 나 밥 먹으니까 기분 좋아졌어!!
2025.10.10,19:36,민석,좋다ㅎㅎ 뭐 먹었는데?
2025.10.10,19:38,현지,제육볶음💥 완전 맛있어!!!
2025.10.10,19:42,민석,오 제육은 인정ㅋㅋ
2025.10.10,19:46,현지,이제 너 기분 풀렸지??
2025.10.10,20:02,민석,ㅎㅎ 나 원래 괜찮았어~
